Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DataDrivenTesting,,,2018-12-05 13:28:33,2018-12-05 13:28:40,7.159s,PASSED
,,,,,,
Test Cases/API-DataDriven/DataDriven,,,2018-12-05 13:28:34,2018-12-05 13:28:38,4.422s,PASSED
"sendRequest(findTestObject(""DataDriven/CreateUserusingDataDriven"", [""dataDrivenusername"":userName]))",,,2018-12-05 13:28:34,2018-12-05 13:28:38,3.836s,PASSED
"println(""Using user name"" + userName)",,,2018-12-05 13:28:38,2018-12-05 13:28:38,0.004s,PASSED
,,,,,,
Test Cases/API-DataDriven/DataDriven,,,2018-12-05 13:28:38,2018-12-05 13:28:39,1.136s,PASSED
"sendRequest(findTestObject(""DataDriven/CreateUserusingDataDriven"", [""dataDrivenusername"":userName]))",,,2018-12-05 13:28:38,2018-12-05 13:28:39,1.118s,PASSED
"println(""Using user name"" + userName)",,,2018-12-05 13:28:39,2018-12-05 13:28:39,0.001s,PASSED
,,,,,,
Test Cases/API-DataDriven/DataDriven,,,2018-12-05 13:28:39,2018-12-05 13:28:40,1.022s,PASSED
"sendRequest(findTestObject(""DataDriven/CreateUserusingDataDriven"", [""dataDrivenusername"":userName]))",,,2018-12-05 13:28:39,2018-12-05 13:28:40,1.007s,PASSED
"println(""Using user name"" + userName)",,,2018-12-05 13:28:40,2018-12-05 13:28:40,0.000s,PASSED
